date,name,tmdbId,entityType,nodePosition
2025-07-23,Clint Eastwood,190,actor,right
2025-07-24,Zac Efron,29222,actor,left
2025-07-24,Uma Thurman,139,actor,right
2025-07-25,Men in Black,607,movie,left
2025-07-25,Michael J. Fox,521,actor,right
2025-07-26,Furious 7,168259,movie,left
2025-07-26,Emily Blunt,5081,actor,right
2025-07-27,Megan Fox,19537,actor,left
2025-07-27,Jaws,578,movie,right
2025-07-28,Lucy Liu,140,actor,left
2025-07-28,Liam Neeson,3896,actor,right
2025-07-29,Chris Evans,16828,actor,left
2025-07-29,Ariana Grande,226001,actor,right
2025-07-30,Twilight,8966,movie,left
2025-07-30,Shia LaBeouf,10959,actor,right
2025-07-31,Cillian Murphy,2037,actor,left
2025-07-31,Aquaman,297802,movie,right
2025-08-01,Guardians of the Galaxy,118340,movie,left
2025-08-01,Robert Pattinson,11288,actor,right
2025-08-02,Kate Hudson,11661,actor,left
2025-08-02,Dakota Johnson,118545,actor,right
2025-08-03,Jumanji: The Next Level,512200,movie,left
2025-08-03,Winona Ryder,1920,actor,right
2025-08-04,Sandra Bullock,18277,actor,left
2025-08-04,Harry Potter and the Prisoner of Azkaban,673,movie,right
2025-08-05,Johnny Depp,85,actor,left
2025-08-05,Richard Gere,1205,actor,right
2025-08-06,Rogue One: A Star Wars Story,330459,movie,left
2025-08-06,Pedro Pascal,1253360,actor,right
2025-08-07,The Wolf of Wall Street,106646,movie,left
2025-08-07,Salma Hayek Pinault,3136,actor,right
2025-08-08,Avengers: Endgame,299534,movie,left
2025-08-08,Natalie Portman,524,actor,right
2025-08-09,Keira Knightley,116,actor,left
2025-08-09,Angelina Jolie,11701,actor,right
2025-08-10,Emmy Rossum,4730,actor,left
2025-08-10,Al Pacino,1158,actor,right
2025-08-11,Hancock,8960,movie,left
2025-08-11,Sylvester Stallone,16483,actor,right
2025-08-12,Keke Palmer,74688,actor,left
2025-08-12,Lily James,1016168,actor,right
2025-08-13,Gal Gadot,90633,actor,left
2025-08-13,Jessica Alba,56731,actor,right
2025-08-14,Jamie Lee Curtis,8944,actor,left
2025-08-14,Robert Downey Jr.,3223,actor,right
